Name,Type,Group,!Active,Instruction,Rating,RatingCount,text
Culture Shock,Trust Exercises,Large (30+ ppl),Active,"Form three teams of roughly an equal number of people.Announce that each team will soon be invited to interact with all other teams for two minutes.In secret tell each team to interact in one of three very specific ways for example:
– Team A never looks into the eyes of those they are speaking with;
– Team B always whispers when talking; and
– Team C always keeps at least 2 metres away from those they are speaking with.When ready challenge everyone to interact and engage in a conversation with as many people as possible over 2 minutes.In conclusion invite your group to reflect on what they observed and experienced eg draw valuable lessons about cultural diversity and communication.",0.0,0,culture culture shock shock trust trust exercises exercises large large 30 30 ppl ppl active active
Inspiring Check-Ins,Health & Wellness,Medium (15-30 ppl),Passive,In advance visit the Resources tab to download a sample worksheet or create your own.Choose an appropriate time to distribute the worksheets to your group ie at the beginning middle or end of a task/day/week/etc.Instruct your group to complete their worksheets as best as they can.When ready and if applicable gather your group (in small or large groups) to discuss and share.Conclude with a motivational thought.,0.0,0,inspiring inspiring check check ins ins health health wellness wellness medium medium 15 15 30 30 ppl ppl passive passive
Phones & Faxes,Team-Building,Medium (15-30 ppl),Active,Form a large circle with everyone facing into the centre.Invite 2 or 3 volunteers to stand in the centre of the circle with their backs to each other.Distribute at least one soft tossable item to every person standing in the circle.Announce that the volunteers will soon be challenged to catch as many of the items being tossed into the air as they can.On an agreed signal instruct everyone in the circle to toss their items into the air aiming to have them land in the circle’s centre.Count and tally all items caught by the volunteers.Repeat for two or more rounds before inviting a new set of volunteers to swap with those in the centre.Challenge your group to continuously improve the number of items caught by the volunteer catchers in a single round.In conclusion invite your group to reflect on their experience and results.,0.0,0,phones phones faxes faxes team team building building medium medium 15 15 30 30 ppl ppl active active
QOTD,Ice-Breakers,Small (8-15 ppl),Passive,In advance consider one or more questions to ask your group that will promote interaction sharing and frame your group’s experience.If possible craft a question that is related to the purpose of your gathering.Once your group has gathered pose your question.Invite sharing in small and/or large groups.Continue with your program.Repeat each time your group meets.,0.0,0,qotd qotd ice ice breakers breakers small small 8 8 15 15 ppl ppl passive passive
Accepting Yourself,Reflection,Small (8-15 ppl),Passive,Schedule this exercise after a significant possibly lengthy program experience.Distribute one Accepting Yourself worksheet to each person (two options download from Resources tab.)Invite each person to complete the first section (only) of the worksheet (allow 10 minutes.)When ready re-gather your group.Invite one person to start by sharing their thoughts on the first section.Next invite the rest of your group to share any additional strengths they see in this person.Ask a volunteer to record these extra thoughts and affirmations on the individual’s worksheet ie so they may be present to the feedback from others.Continue this process until all participants have shared and received feedback from the rest of the group.,0.0,0,accepting accepting reflection reflection small small 8 8 15 15 ppl ppl passive passive
Paradigm Shift,Energisers,Medium (15-30 ppl),Passive,Invite your group to look at the ceiling directly above them and imagine the face of a clock.Instruct each person to extend their pointer finger (palm facing to them) towards the 12 o’clock position.Ask them to move their finger slowly in a clockwise direction around the clock face to form a large circle above their head.Continue to move their finger clockwise while slowly lowering their hand (and rotating in the same horizontal plane) below the height of their shoulders.Keep rotating one’s finger several more times.Ask your group to observe the direction of their movements ie the finger will now be moving anti-clockwise.Repeat the exercise two more times.Invite your group to reflect on why the direction of their rotating fingers changed.,0.0,0,paradigm paradigm shift shift energisers energisers medium medium 15 15 30 30 ppl ppl passive passive
BlueStarOpoly,Fun Games,Large (30+ ppl),High Energy,In advance visit the Resources tab to download the Print+Play template of 30 x Zany Small Group Tasks.Create a very large paper game board that features 40 to 60 squares on it and mark one-quarter of them with the word ACTIVITY inside them.Lay the game board on the floor of a large indoor arena and place a bunch of dice in the centre.When ready form random small teams of 8 to 12 people and invite them to gather together on the outside of the board.Distribute the list of activities to one or more volunteers or colleagues who have been assigned to supervise the teams.Distribute a unique token or object to identify each team.Announce that each team will be invited to move their token – from an assigned starting point – multiple times around the game board by rolling the dice and moving the corresponding number of spaces forward.When a team lands on a square marked ACTIVITY their supervising leader will describe the task as identified by its number on the list.As soon as the team has accomplished this task they may resume rolling the dice to progress around the game board.When a team lands on an empty square they may roll the dice again to move forward.Play continues for 30 to 45 minutes or as soon as the first team has completed a prescribed number of rotations of the board.,0.0,0,bluestaropoly bluestaropoly fun fun games games large large 30 30 ppl ppl high high energy energy
Gratitude Jar,Reflection,Small (8-15 ppl),Passive,In advance gather all of the resources you will need for this activity.Distribute one jar and a bunch of short strips of paper to each person.Announce that you will soon lead your group through a fun activity to reflect on their achievements and express gratitude.Instruct each person to write as many things that they have achieved or are grateful for one per single strip of paper.Frame your group’s reflection as appropriate eg the most recent group experience.Encourage your group to identify those things that they have control over eg not the weather.When ready invite everyone to place these strips of paper into their jar.If desired invite one or more volunteers to share some of what they contributed to their jar.To conclude invite your group to reflect on their experience of being grateful.,0.0,0,gratitude gratitude jar jar reflection reflection small small 8 8 15 15 ppl ppl passive passive
Nerves of Steel,Fun Games,Mini (3–8 ppl),Active,Position four chairs one each in the corners of an imaginary square facing inwards approx 5 to 10 metres apart.Invite four people to sit on the chairs and a fifth person to stand in the middle of the space.Challenge the four people sitting on chairs to move off their own in an effort to sit on and occupy all other chairs as quickly as possible.Only one person can sit on a chair at any point in time ie they will be required to swap seats frequently.Instruct the person standing in the centre to steal (sit) any seat that is vacated by the other four people at any time.When the person who is standing successfully claims a vacant seat a new person (ie the one without a seat) will become the next person standing in the middle.The first person to visit all four chairs and return to the one they started from is the winner.Start a new round with a new team of five people or swap the person who won with a new person waiting their turn to play.,0.0,0,nerves nerves steel steel fun fun games games mini mini 3 3 8 8 ppl ppl active active
Active Intros,Energisers,Large (30+ ppl),Active,In advance download one of the two sample Print+Play slides from the Resources tab that feature a series of movements and sounds associated with letters represented by the English A to Z alphabet (or create your own.)When ready show the poster (or slide) to your audience.Invite everyone in your audience to stand.Ask each person to ‘spell’ their first last or full name one letter at a time by performing the action associated with each letter.Allow up to 30 seconds for the names to be performed.Optional: Repeat this process for new words and phrases you want your group to perform.,0.0,0,active active intros intros energisers energisers large large 30 30 ppl ppl active active
Ducks in a Row,Health & Wellness,Medium (15-30 ppl),Passive,In advance source 4 (or more) rubber ducks & optional craft materials.As part of a values-based or behavioural norms discussion introduce the rubber ducks to your group.Invite the group to suggest ways to decorate each duck based on the 4 (or more) agreed values or characteristics they would like to aspire (and commit) to.For example your group make decorate one duck as a firefighter to represent the ‘Be Safe’ value.When ready assemble all ducks in a single row facing in one direction.Referencing the analogy of “lining all of your ducks in a row” discuss each of their values or characteristics in regard to your group’s current performance.That is to say when a group is performing well all of their ducks are lined up in a straight line (row.)Invite your group to discuss which one or more of the ducks may be flying high or low or out of line relative to all of the ducks.Facilitate a conversation that challenges your group to commit to certain behaviours or actions which endeavour to improve their performance ie align all of their ducks in a row.,0.0,0,ducks ducks row row health health wellness wellness medium medium 15 15 30 30 ppl ppl passive passive
